prediction,reference,f1,em,tokens_used,num_api_calls
"May 30, 1943","May 30, 1943",1.0,1,2085,1
1957,1957,1.0,1,1579,1
Berlin,Berlin,1.0,1,1844,1
Jimmie Ross,Jimmie Ross,1.0,1,1217,1
American Chemical Society,the American Chemical Society,0.8571428571428571,0,1933,1
Park Dietz,Park Dietz,1.0,1,1853,1
Roy Orbison,Roy Orbison,1.0,1,2333,1
Song of the South,"""Song of the South"".",1.0,1,2153,1
Mad Dog Coll,"Vincent ""Mad Dog"" Coll",0.8571428571428571,0,2615,1
"108,249","108,249",1.0,1,899,1
1984,1984,1.0,1,1926,1
Carmina Burana,Carmina Burana,1.0,1,1893,1
Michael Dowse,Michael Dowse,1.0,1,1232,1
Barack Obama,Barack Hussein Obama II,0.6666666666666666,0,2060,1
"56,551","56,551",1.0,1,2117,1
Chicago,Chicago,1.0,1,1868,1
Yes,yes,1.0,1,1811,1
23rd Summer Deaflympics,the 23rd Summer Deaflympics,0.8571428571428571,0,1932,1
Peter Chelsom,Peter Chelsom,1.0,1,1745,1
"Uniondale, New York","Uniondale, New York",1.0,1,1421,1
Sinaloa,Sinaloa,1.0,1,2239,1
2003,2003,1.0,1,2526,1
Odysseas Elytis,Odysseas Elytis,1.0,1,1767,1
Argentine,Argentine,1.0,1,3702,1
Robert E. Howard,Richard Ford,0.0,0,2338,1
United States,United States,1.0,1,1527,1
The Producers,The Producers,1.0,1,2343,1
Saturday Night Live,Saturday Night Live,1.0,1,1682,1
Barnstormer,barnstormer,1.0,1,1908,1
Saludos Amigos,Saludos Amigos,1.0,1,2414,1
Chile,Chile,1.0,1,2757,1
Institute of Muslim Minority Affairs,Institute of Muslim Minority Affairs,1.0,1,1942,1
Graham Hess,Graham Hess,1.0,1,1578,1
Mara Santangelo,Mara Santangelo,1.0,1,1741,1
"Martha Coolidge, Greg White",Martha Coolidge,0.6666666666666666,0,2150,1
Panzer,Panzer,1.0,1,2584,1
"6,960","6,960",1.0,1,2113,1
"more than 1,600","more than 1,600",1.0,1,2047,1
state capital,state capital,1.0,1,1817,1
Bihar,Bihar,1.0,1,2760,1
Meadowbank Gold Mine,Meadowbank Gold Mine,1.0,1,1598,1
Stuart period,Stuart period,1.0,1,1388,1
19 mi,19 mi,1.0,1,1810,1
Don Henley,Donald Hugh Henley,0.4,0,2677,1
Suffolk County,Suffolk County,1.0,1,1641,1
Kamal Shalorus,Kamal Shalorus,1.0,1,1891,1
Rockstar Games,Rockstar Games,1.0,1,2155,1
Otto Stern,Otto Stern,1.0,1,2140,1
H. Bruce Humberstone,"H. Bruce ""Lucky"" Humberstone",0.8571428571428571,0,1603,1
No,no,1.0,1,1114,1
Mary Ramsey,Mary Ramsey,1.0,1,1654,1
1969,1969,1.0,1,1734,1
R&B,R&B,1.0,1,1824,1
Hermann Hummels,Bayern Munich,0.0,0,13416,1
22,22,1.0,1,2222,1
PBS NewsHour,PBS NewsHour,1.0,1,1383,1
1948,1948,1.0,1,2190,1
275 years,275 years,1.0,1,1685,1
M&T Bank Stadium,M&T Bank Stadium,1.0,1,1776,1
American,American,1.0,1,1931,1
La Plaza Mall,La Plaza Mall,1.0,1,1946,1
Queen Elizabeth II,Queen Elizabeth II,1.0,1,1845,1
Memphis International Airport,Memphis International Airport,1.0,1,1490,1
Rickenbacker International Airport,Rickenbacker International Airport,1.0,1,1978,1
Notre Dame High School,Notre Dame High School,1.0,1,1225,1
shrubs,plants,0.0,0,1814,1
mums or chrysanths,mums or chrysanths,1.0,1,1839,1
Alan Menken,Alan Menken,1.0,1,3613,1
Ken Leung,"Kenneth ""Ken"" Leung",0.8,0,1821,1
American,American,1.0,1,1488,1
cybersecurity,cybersecurity,1.0,1,1780,1
William of Wykeham,William of Wykeham,1.0,1,2920,1
The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,1.0,1,1894,1
743,743,1.0,1,1439,1
Anthony Hopkins and Jessica Lange,Anthony Hopkins and Jessica Lange,1.0,1,2090,1
August Burns Red,August Burns Red,1.0,1,1538,1
Virginia Wade,Virginia Wade,1.0,1,1760,1
1928,1928,1.0,1,2735,1
American,American,1.0,1,2195,1
Bankers Life Fieldhouse,Bankers Life Fieldhouse,1.0,1,2106,1
England,England,1.0,1,1985,1
Henry Bacon,Henry Bacon,1.0,1,1988,1
Larry Tanenbaum,Lawrence M. Tanenbaum,0.4,0,1444,1
Allan Dwan,Allan Dwan,1.0,1,1220,1
6,six,0.0,0,1691,1
Carlos Bacca,Carlos Arturo Bacca Ahumada,0.6666666666666666,0,1284,1
Castle Road,Castle Road,1.0,1,2487,1
oil of vitriol,oil of vitriol,1.0,1,1842,1
John Kennedy Toole,John Kennedy Toole,1.0,1,1631,1
Northwest Side,Northwest Side,1.0,1,2145,1
Pennsylvania,"Rockhill Furnace, Pennsylvania",0.5,0,11318,1
Australia,Australia,1.0,1,1518,1
No,no,1.0,1,1811,1
Pirelli World Challenge,Pirelli World Challenge,1.0,1,1652,1
Frank Darabont,Frank Darabont,1.0,1,1759,1
Ochagavia,Ochagavia,1.0,1,2430,1
Yes,yes,1.0,1,2006,1
Tom Wopat,Tom Wopat,1.0,1,2720,1
Kirk Kerkorian,"Kerkor ""Kirk"" Kerkorian",0.8,0,1547,1
Showbox,Showbox,1.0,1,2099,1
Katelyn Tarver,Katelyn Tarver,1.0,1,1519,1
"Las Vegas, Nevada","Las Vegas, Nevada",1.0,1,2009,1
David Ayer,David Ayer,1.0,1,1599,1
Music Icons,"""Music Icons""",1.0,1,1567,1
Scott Derrickson,Scott Derrickson,1.0,1,2196,1
Neosho River,Neosho River,1.0,1,1685,1
Julie Cooper,Julie Cooper,1.0,1,2004,1
$268 million,$268 million,1.0,1,1846,1
1928,1928,1.0,1,3350,1
No,no,1.0,1,1809,1
Sarfarosh,Sarfarosh,1.0,1,2553,1
Ekaterina Gordeeva,Ekaterina Gordeeva,1.0,1,1971,1
Texas Tech Red Raiders,Texas Tech Red Raiders,1.0,1,1385,1
John Layfield,John Layfield,1.0,1,2093,1
Twenty One Pilots,Twenty One Pilots,1.0,1,2255,1
Reggie Yates,Reggie Yates,1.0,1,1737,1
Richard Berry,Richard Berry,1.0,1,1575,1
Prodigy,Prodigy,1.0,1,2190,1
"Palm Desert, California","Palm Desert, California",1.0,1,2308,1
chlorophyll a2 and b2,Chlorophyll,0.4,0,2678,1
1786,1786,1.0,1,1641,1
Sir C. V. Raman,Sir C. V. Raman,1.0,1,1855,1
Owen Wilson,Owen Wilson,1.0,1,1569,1
Dominic Thiem,Dominic Thiem,1.0,1,1418,1
CFL,Canadian Football League,0.0,0,2036,1
eight,eight,1.0,1,2090,1
Orlando,Orlando,1.0,1,2684,1
Chien-gris,Chien-gris,1.0,1,1866,1
Octopus card,Octopus card,1.0,1,1554,1
Lest we forget,"""Lest we forget""",1.0,1,2167,1
Disturbed,Disturbed,1.0,1,2076,1
1952,1952,1.0,1,1978,1
Bath,Bath,1.0,1,1953,1
Enemy of the State,Enemy of the State,1.0,1,1765,1
University of Toronto,The University of Toronto,0.8571428571428571,0,8737,1
Doom,Doom,1.0,1,13570,1
Glassroth v. Moore,Glassroth v. Moore,1.0,1,2043,1
Memphis,Memphis,1.0,1,1705,1
attacking midfielder,attacking midfielder,1.0,1,1602,1
1892,1892,1.0,1,1499,1
DreamWorks Animation,DreamWorks Animation,1.0,1,2050,1
Ward Estate,Ward Estate,1.0,1,2144,1
"Washington, D.C.","Washington, D.C.",1.0,1,1817,1
Rhapsody in Blue,Rhapsody in Blue,1.0,1,1622,1
Yes,yes,1.0,1,1684,1
John Carney,John Carney,1.0,1,1767,1
21 Jump Street,21 Jump Street,1.0,1,2421,1
FX,FX,1.0,1,1940,1
Domenico Dolce and Stefano Gabbana,Domenico Dolce and Stefano Gabbana.,1.0,1,1351,1
Syco Music and Columbia Records.,Syco Music and Columbia Records,1.0,1,2124,1
1911,1911,1.0,1,1701,1
"Based on the context provided, it seems there's no clear information indicating any American city was connected to the actual events of Orhan Eskiköy's and Zeynel Doğan's film. The context mentions the film was shot in Diyarbakır and Elbistan (both in Turkey) and was based on the Maraş Massacre, which appears to be a Turkish historical event, not an American one.","Granby, Colorado",0.0,0,2149,1
Niagara County,Niagara County,1.0,1,1534,1
Evanston,"Evanston, Illinois",0.6666666666666666,0,1732,1
Modern Drummer,Modern Drummer,1.0,1,1724,1
Tuppence Middleton,Tuppence Middleton,1.0,1,1444,1
punk bands,band,0.0,0,1618,1
Trevor Knight,Trevor Knight,1.0,1,2236,1
Brazil,Brazil,1.0,1,2282,1
Matthew Kelly,Matthew Kelly,1.0,1,1957,1
Hey Monday,Hey Monday,1.0,1,2016,1
1999,1999,1.0,1,2160,1
Slovenia,Slovenia,1.0,1,1470,1
10 August 1296,10 August 1296,1.0,1,1778,1
Yes,yes,1.0,1,1615,1
Ottokar Kernstock,Ottokar Kernstock,1.0,1,2677,1
Lincoln Barrett,Lincoln Barrett,1.0,1,2440,1
Square Enix,Square Enix,1.0,1,2913,1
"167,446","167,446",1.0,1,1457,1
drinks,drink,0.0,0,1483,1
Yes,yes,1.0,1,1780,1
Donald Trump,Donald Trump,1.0,1,1699,1
Cornershop,Wiiija,0.0,0,3018,1
Judson,Judson,1.0,1,1611,1
Tyndall Air Force Base,Tyndall Air Force Base,1.0,1,1646,1
Zales,Zale Corporation,0.0,0,1292,1
1982,1982,1.0,1,5025,1
Tommy Morrison,Tommy Morrison,1.0,1,1607,1
Armin van Buuren,Armin van Buuren,1.0,1,1450,1
Second City Theatre,Second City Theatre,1.0,1,1880,1
Pune,Pune,1.0,1,1720,1
David Usher,David Usher,1.0,1,1515,1
Quinceañera,Quinceañera,1.0,1,1324,1
Andrew Bird,Andrew Bird,1.0,1,11703,1
tennis,tennis,1.0,1,1248,1
New Orleans Saints,New Orleans Saints,1.0,1,2842,1
Laura Kirk,Laura Ellen Kirk,0.8,0,1350,1
German Football Association,The DFB Sports Court,0.0,0,1484,1
"Atlanta, Georgia","Atlanta, Georgia",1.0,1,2066,1
Beyond the Gates of Splendor,Beyond the Gates of Splendor,1.0,1,1716,1
440,440,1.0,1,1591,1
Hector on Stilts,Hector on Stilts,1.0,1,2501,1
Democrat,Democrat,1.0,1,2392,1
A Long Way Home,"""A Long Way Home""",1.0,1,2183,1
"eastern North America from Quebec to Nova Scotia, New England south to the Adirondack Mountains and Appalachians to western North Carolina",eastern North America,0.25,0,1819,1
United States,American,0.0,0,2336,1
Brandon Tartikoff,Brandon Tartikoff,1.0,1,1700,1
"Yarmouth, Maine","Yarmouth, Maine",1.0,1,2352,1
No,no,1.0,1,1352,1
"7,585","7,585",1.0,1,1346,1
"Sweden, Finland, and Norway","Sweden, Finland, and Norway",1.0,1,1449,1
Affirmative action,Affirmative action,1.0,1,1993,1
La Fea Mas Bella,La Fea Mas Bella,1.0,1,1539,1
No,no,1.0,1,2299,1
No,no,1.0,1,1818,1
Catherine Deneuve,Catherine Deneuve,1.0,1,1406,1
Desiderata,Desiderata,1.0,1,1728,1
flowering plants,flowering plants,1.0,1,1546,1
$1.7 billion,$1.7 billion,1.0,1,2049,1
And There's More,And There's More,1.0,1,1662,1
Royal Opera House,The Royal Opera House,0.8571428571428571,0,2228,1
Teeth,Teeth,1.0,1,1217,1
Wichita City Carnegie Library Building,Wichita City Carnegie Library Building,1.0,1,1988,1
William T. Anderson,William T. Anderson,1.0,1,1634,1
Liverpool F.C.,Liverpool Football Club,0.4,0,2353,1
director,film director,0.6666666666666666,0,1303,1
22 June 1944,22 June 1944,1.0,1,2499,1
10 weeks,ten weeks,0.5,0,2081,1
Pride Divide,Pride Divide,1.0,1,1499,1
Ridley Scott,Ridley Scott,1.0,1,1725,1
2,second,0.0,0,2397,1
Martin Heidegger,Martin Heidegger,1.0,1,1904,1
No,no,1.0,1,1587,1
Fir,Firs,0.0,0,1826,1
Ice King,Ice King,1.0,1,1812,1
1950,1950,1.0,1,1746,1
Carlsberg Laboratory,Carlsberg Laboratory,1.0,1,1560,1
American,American,1.0,1,1980,1
Mercedes-Benz,Smart,0.0,0,1436,1
Deadpool 2,Deadpool 2,1.0,1,1664,1
South Park,South Park,1.0,1,2060,1
A. J. McClung Memorial Stadium,J. McClung Memorial Stadium,0.888888888888889,0,1803,1
No,no,1.0,1,1404,1
Javier Sotomayor,Javier Sotomayor,1.0,1,1999,1
Alex Cox,"Alexander ""Alex"" Cox",0.8,0,1890,1
four times,four,0.6666666666666666,0,1941,1
Elizabeth Smylie,Elizabeth Smylie,1.0,1,2411,1
"39,134","39,134",1.0,1,1835,1
1928,1928,1.0,1,1682,1
William Grant Still,William Grant Still,1.0,1,1812,1
director,director,1.0,1,1904,1
Pro Wrestling Fujiwara Gumi,Pro Wrestling Fujiwara Group,0.75,0,2540,1
Ngangkiparri,Ngangkiparri,1.0,1,1902,1
The Awakening,The Awakening,1.0,1,2285,1
Yes,yes,1.0,1,1738,1
Cleveland Browns,Cleveland Browns,1.0,1,1814,1
Francesco Baracca,Count Francesco Baracca,0.8,0,1794,1
Southern Baptist Theological Seminary,Southern Baptist Theological Seminary,1.0,1,2456,1
Wadia Group,Wadia Group,1.0,1,1419,1
October 2001,October 2001,1.0,1,1474,1
Joseph Groome Towers,Joseph Groome Towers,1.0,1,1983,1
Camp Chapman attack,Camp Chapman attack,1.0,1,1887,1
Vladislav Lantratov,Vladislav Lantratov,1.0,1,2102,1
1626,1626,1.0,1,2752,1
5,five,0.0,0,1496,1
Microsoft Studios,Microsoft Studios,1.0,1,1687,1
Ulster,Ulster,1.0,1,2678,1
Rosemary Sutcliff,Rosemary Sutcliff,1.0,1,2693,1
The Usual Suspects,The Usual Suspects,1.0,1,2749,1
1995,1995,1.0,1,1935,1
Caltech,Caltech,1.0,1,1441,1
U.S. Route 51,U.S. Route 51,1.0,1,2417,1
51 Birch Street,51 Birch Street,1.0,1,1412,1
1967,1967,1.0,1,1216,1
Harry Doyle,Harry Doyle,1.0,1,1612,1
documentary,documentary,1.0,1,2772,1
Béla Bartók,Béla Viktor János Bartók,0.6666666666666666,0,2085,1
Tony Rice,Tony Rice,1.0,1,2046,1
2001,2001,1.0,1,1898,1
Sidney Hall,Sidney Hall,1.0,1,2021,1
The London Connection,The London Connection,1.0,1,2464,1
American-Canadian,American-Canadian,1.0,1,1737,1
Charleston,Charleston,1.0,1,1934,1
California,California,1.0,1,601,1
China,China,1.0,1,2190,1
Micromeria,Micromeria,1.0,1,1919,1
No,no,1.0,1,1807,1
The New York Times,The New York Times,1.0,1,1991,1
1200,"1,200",1.0,1,2573,1
2006,2006,1.0,1,2910,1
Belgrade,Belgrade,1.0,1,1586,1
1989,1989,1.0,1,2685,1
United States Department of Health and Human Services,the United States Department of Health and Human Services,0.9411764705882353,0,1977,1
Pan-Africanism,Pan-Africanism,1.0,1,1979,1
"May 16, 1947","May 16, 1947",1.0,1,1682,1
The IT Crowd,"""The IT Crowd""",1.0,1,2080,1
Bella,Bella,1.0,1,1420,1
rock,Rock,1.0,1,1648,1
Tina Turner,Tina Turner,1.0,1,1931,1
Yes,yes,1.0,1,1476,1
Oleg Menshikov,Oleg Menshikov,1.0,1,1963,1
18 March 1985,18 March 1985,1.0,1,2009,1
Requiem in White,Requiem in White,1.0,1,2672,1
1879,1879,1.0,1,1361,1
"Irvine, California","Irvine, California",1.0,1,2409,1
Sports Illustrated,Sports Illustrated,1.0,1,2659,1
8 people,eight,0.0,0,2032,1
Objectivist poets,Objectivist,0.6666666666666666,0,1981,1
Credit Union Christmas Pageant,Credit Union Christmas Pageant,1.0,1,2183,1
Guy Ritchie,Guy Ritchie,1.0,1,1426,1
Football,football,1.0,1,1378,1
The Inbetweeners 2,The Inbetweeners 2,1.0,1,1663,1
Edward Burne-Jones,Edward Burne-Jones,1.0,1,1830,1
Austrian,Austrian,1.0,1,2266,1
Big 12 Conference,the Big 12 Conference,0.8571428571428571,0,2442,1
1664,1664,1.0,1,11742,1
Loretta Lynn,Loretta Lynn,1.0,1,1990,1
1991,1991,1.0,1,1574,1
Yes,yes,1.0,1,1687,1
Gary Sinise,Gary Sinise,1.0,1,1991,1
Renée Montagne and Steve Inskeep,Renée Montagne,0.5714285714285715,0,2450,1
Lancashire League,Lancashire League,1.0,1,1739,1
"April 12, 2011","April 12, 2011",1.0,1,1842,1
Tom Sawyer,"Thomas ""Tom"" Sawyer",0.8,0,2092,1
Northwest Angle,The Northwest Angle,0.8,0,1658,1
22 July 2002,22 July 2002,1.0,1,2156,1
2011,2011,1.0,1,1680,1
Yes.,yes,1.0,1,1649,1
Unfabulous,Unfabulous,1.0,1,1659,1
England,England,1.0,1,4303,1
Springfield Elementary School,Springfield Elementary School,1.0,1,2074,1
tennis,tennis,1.0,1,1527,1
Lucy Maud Montgomery,Lucy Maud Montgomery,1.0,1,1837,1
Best Young Actor/Actress,Best Young Actor/Actress,1.0,1,1622,1
John Wayne,John Wayne,1.0,1,2393,1
Lillibullero,Lillibullero,1.0,1,1546,1
Stephen Frears,Stephen Frears,1.0,1,2145,1
9.2 million,9.2 million,1.0,1,1744,1
Rome,Rome,1.0,1,2979,1
Mohan Veena,Mohan Veena (slide guitar),0.6666666666666666,0,1801,1
Warrior King,"""Warrior King""",1.0,1,1551,1
The Jungle Book,The Jungle Book,1.0,1,1932,1
Oprah Winfrey,Oprah Winfrey,1.0,1,2203,1
Battle of Liège and Battle of Tannenberg,Battle of Liège and the Battle of Tannenberg,0.9333333333333333,0,1886,1
Stephen Devassy,Stephen Devassy,1.0,1,2816,1
No.,no,1.0,1,1608,1
Bruce Weber,Bruce Weber,1.0,1,1944,1
Scottish,Scottish,1.0,1,1624,1
Yes,yes,1.0,1,1923,1
Riccardo Cocchi,Riccardo Cocchi,1.0,1,1566,1
1967,1967,1.0,1,1444,1
Colorado Avalanche,Colorado Avalanche,1.0,1,1410,1
Tsui Hark,Tsui Hark,1.0,1,1926,1
Belgium,Belgium,1.0,1,1699,1
The Day After,The Day After,1.0,1,1683,1
No,no,1.0,1,1415,1
1993,1993,1.0,1,1728,1
Discovery Institute's Center for Science and Culture,Discovery Institute's Center for Science and Culture,1.0,1,1861,1
University of Texas,University of Texas,1.0,1,2094,1
"October 22, 1992","October 22, 1992",1.0,1,1723,1
Rashida Jones,Rashida Jones,1.0,1,6335,1
1990s,1990s,1.0,1,2119,1
Partington,Partington,1.0,1,5212,1
Medici,Medici,1.0,1,1267,1
Amherst College,Amherst College,1.0,1,1441,1
American,American,1.0,1,1784,1
David Cutcliffe,David Cutcliffe,1.0,1,1695,1
Raees,Raees,1.0,1,1724,1
Bruce Darnell,Bruce Darnell,1.0,1,1704,1
South Korea,South Korea,1.0,1,1579,1
"8,777","8,777",1.0,1,1689,1
MTV VJ,MTV VJ,1.0,1,1304,1
"2006, Brushfire Records",2006,0.5,0,2053,1
Yes,yes,1.0,1,1593,1
78.5 mi,78.5 mi,1.0,1,2725,1
Northeast Regional,The Northeast Regional,0.8,0,2796,1
Yakshagana artist,Yakshagana,0.6666666666666666,0,1434,1
1871,1871,1.0,1,2047,1
London,East Dulwich,0.0,0,1802,1
raw sexuality,raw sexuality,1.0,1,1889,1
Immanuel College,Immanuel College,1.0,1,1502,1
"March 25, 1928","March 25, 1928",1.0,1,2200,1
Apple TV,Apple TV,1.0,1,1856,1
Jaeger Corps,Jaeger Corps,1.0,1,1605,1
"Victor A. Vyssotsky, Robert Morris Sr., and M. Douglas McIlroy",Bell Labs,0.0,0,1767,1
Denis Johnson,Denis Johnson,1.0,1,1429,1
Tony Scott,Tony Scott,1.0,1,2059,1
King George V,George V,0.8,0,1939,1
Western Division,Western Division,1.0,1,1861,1
GamePro,GamePro,1.0,1,1817,1
being a versatile and skillful left wingback and playing for 14 clubs in six countries,his speed on the ball,0.0,0,10350,1
No,no,1.0,1,2440,1
Edgewater,Edgewater,1.0,1,2549,1
Lily Tomlin,"Mary Jean ""Lily"" Tomlin",0.6666666666666666,0,2312,1
Hit Parader,Hit Parader,1.0,1,2507,1
New York,New York,1.0,1,2061,1
Yes,yes,1.0,1,1426,1
Gregory Hines,Gregory Hines,1.0,1,1650,1
CIA,Central Intelligence Agency,0.0,0,6128,1
scoring goals,scoring goals,1.0,1,1718,1
1957,1957,1.0,1,1919,1
University of Washington,University of Washington,1.0,1,1535,1
yes,yes,1.0,1,1955,1
Trouble Every Day,Trouble Every Day,1.0,1,4721,1
David Jason,Sir David John White,0.3333333333333333,0,1712,1
Sammy Wilson,Sammy Wilson,1.0,1,1786,1
renowned Torah and Talmudic scholar,Torah and Talmudic scholar,0.888888888888889,0,1858,1
Sleeper Agent,Sleeper Agent,1.0,1,1126,1
New Jersey,New Jersey,1.0,1,2515,1
Denmark,Denmark,1.0,1,1706,1
Dancing with the Stars,Dancing with the Stars,1.0,1,2028,1
Luigi Einaudi,Luigi Einaudi,1.0,1,1293,1
1986,1986,1.0,1,2352,1
yes,yes,1.0,1,1704,1
The former 10th congressional district no longer exists.,Erik Paulsen,0.0,0,3036,1
Mount Panorama and Wahluu,Mount Panorama and Wahluu,1.0,1,1609,1
The Funtastic World of Hanna-Barbera,The Funtastic World of Hanna-Barbera,1.0,1,1676,1
Amanda Curtis,Amanda Curtis,1.0,1,1992,1
Mick Woodmansey,Mick Woodmansey,1.0,1,3997,1
Kënga Magjike,Kënga Magjike,1.0,1,1852,1
1945,1945,1.0,1,1714,1
Donovan,Donovan,1.0,1,1807,1
John Luessenhop,John Luessenhop,1.0,1,1622,1
Rollo,Rollo,1.0,1,2533,1
American,American,1.0,1,1780,1
Primera División,Primera División,1.0,1,1356,1
Dan Castellaneta,Dan Castellaneta,1.0,1,2647,1
Defence of Fort M'Henry,Defence of Fort M'Henry,1.0,1,1997,1
Brazil,Brazil,1.0,1,1480,1
John Flamsteed,John Flamsteed,1.0,1,2399,1
The Tarnished Eye,The Tarnished Eye,1.0,1,1876,1
