prediction,reference,f1,em,tokens_used,num_api_calls,error
The mallow family,mallow,0.5,0,3264,4,
Nevada,Nevada,1.0,1,3816,4,
American Hairless Terrier,American Hairless Terrier,1.0,1,4153,4,
Istanbul,"Istanbul, Turkey",0.6666666666666666,0,4811,5,
,The Borrowers,0.0,0,9576,6,Actor failed: APITimeoutError: Request timed out.
"Alfred Brendel, Sir John Eliot Gardiner, Sir Neville Marriner, the Academy of St. Martin in the Fields, Mitsuko Uchida, Julian Lloyd Webber, Sir Colin Davis, and André Rieu were successful artists at Philips Classics Records.",Alfred Brendel,0.1081081081081081,0,3150,4,
"Félix du Temple de la Croix was a French naval officer and inventor who developed some of the first **early flying machines**. He is credited with the first successful flight of a powered aircraft (a model plane) in 1857 and is sometimes credited with the first manned powered flight in history in 1874, piloting his invention known as the **Du Temple Monoplane**.",aircraft of any sort,0.06060606060606061,0,4397,4,
Vincenzo Natali,Vincenzo Natali,1.0,1,3529,4,
League Two,League Two,1.0,1,3729,4,
Run-DMC,Run-D.M.C.,1.0,1,6664,4,
Jimmy Rooney was a member of the **Australian 1974 World Cup squad**.,1974 World Cup squad,0.5,0,3216,4,
Michael Stipe,Michael Stipe,1.0,1,4119,4,
Morten Lauridsen,Morten Lauridsen,1.0,1,5429,5,
"The Denver Broncos won Super Bowl XXXIII, where Big Bad Voodoo Daddy performed at the half-time show.",Denver Broncos,0.21052631578947367,0,3759,4,
"Yes, the band Saosin formed in 2003, which is before No Devotion formed in 2014.",yes,0.125,0,3631,4,
Shia LaBeouf,Shia LaBeouf,1.0,1,6404,5,
"November 20, 1963","November 20, 1963",1.0,1,3352,4,
R2Bees,R2Bees,1.0,1,4457,4,
Women,Ladies,0.0,0,3811,4,
,New Jersey,0.0,0,1583,1,Actor failed: APITimeoutError: Request timed out.
"The End EP by Black Sabbath was released on **January 20, 2016**.","January 20, 2016",0.4,0,3121,4,
TVB television,TVB television,1.0,1,3135,4,
The Devil's Broom fire,the Devil's Broom fire,1.0,1,3147,4,
Remington,Remington,1.0,1,4460,5,
Johnson & Johnson,Johnson & Johnson,1.0,1,3848,4,
Robin Pingeton,Robin Pingeton,1.0,1,9460,5,
Bob Iger,Bob Iger,1.0,1,5145,4,
Yes,no,0.0,0,4738,5,
Villa Riachuelo,Villa Riachuelo,1.0,1,3734,4,
Suran,Shin Su-ran,0.6666666666666666,0,4288,5,
Jet,Jet,1.0,1,4815,5,
China,People's Republic of China,0.4,0,3021,4,
ESPN,ESPN,1.0,1,4891,5,
2011,2011,1.0,1,3660,4,
Lewis's,Lewis's,1.0,1,13513,5,
Flinders Street railway station,Flinders Street railway station,1.0,1,3840,4,
Ottis Toole,Ottis Toole,1.0,1,4259,4,
Dog,dog,1.0,1,3840,4,
Experience point,experience point,1.0,1,6111,4,
Mildred J. Hill,Mildred J. Hill,1.0,1,3956,4,
Tennis,tennis,1.0,1,3648,4,
,Ravi Udyawar,0.0,0,0,0,Critic failed: APITimeoutError: APITimeoutError('Request timed out.')
Dave Foley,Dave Foley,1.0,1,4689,5,
"KBSO broadcasts **Texas country music**, which is known for fusing **traditionalist root sounds** (similar to neotraditional country) with the **outspoken, care-free views of outlaw country**.","traditionalist root sounds (similar to neotraditional country) with the outspoken, care-free views of outlaw country",0.7499999999999999,0,4476,5,
Felix Dennis,Felix Dennis,1.0,1,7288,6,
ABC,ABC,1.0,1,3224,4,
"**Texas Monthly** is a currently published magazine based in Austin, Texas, founded in 1973, that focuses on politics, culture, and life in the state of Texas.

**Lucky** was a fashion and lifestyle magazine founded in 2000 by Condé Nast that ceased publication in 2015.",first published in 2000,0.125,0,4096,4,
Dog,dog,1.0,1,3302,4,
1983 Summer Universiade,1983 Summer Universiade,1.0,1,5259,5,
Erik Paulsen,Erik Paulsen,1.0,1,5436,5,
Grace Kelly,Grace Kelly,1.0,1,3966,4,
The film is **The Magic Roundabout** (released in the United States as **Doogal**). It features the voice of English actor **Ray Winstone**.,The Magic Roundabout,0.24000000000000002,0,5145,4,
Taki's Magazine,Taki's Magazine,1.0,1,4282,4,
Galadriel,Galadriel,1.0,1,3111,4,
Elisabeth Hauptmann,Elisabeth Hauptmann,1.0,1,3613,4,
"Georg von Tiesenhausen was involved in **Operation Paperclip**, a secret program that brought German scientists and engineers to the United States after World War II.",Operation Paperclip,0.14814814814814814,0,4438,5,
,Indians,0.0,0,1644,1,Actor failed: APITimeoutError: Request timed out.
Vicki Leekx,Vicki Leekx,1.0,1,3445,4,
1967 Atlantic hurricane season,1967 Atlantic hurricane season,1.0,1,5930,5,
Film director,film director,1.0,1,3415,4,
"Yes, both Rómulo Gallegos and Louis Bromfield had writing-related occupations. Rómulo Gallegos was a novelist, and Louis Bromfield was an author.",yes,0.0909090909090909,0,4194,5,
1995,1995,1.0,1,3294,4,
"The Mazda Roadpacer AP was introduced to compete with the **Toyota Century** (as well as the Nissan President, Isuzu Statesman de Ville, and Mitsubishi Debonair). The Toyota Century is specifically described as a large four-door limousine produced mainly for the Japanese market.",Toyota Century,0.0909090909090909,0,6229,5,
Spain,Spain,1.0,1,3507,4,
Chinese names,Chinese name,0.5,0,4358,4,
"H. Frank Carey Junior-Senior High School is located in **Franklin Square, New York**.",Garden City South,0.0,0,3153,4,
Margaret Mitchell,A. E. W. Mason,0.0,0,4071,4,
Jean Terrell,Jean Terrell,1.0,1,3943,4,
The Stranger (L'Étranger),L’Étranger,0.5,0,3743,4,
The Chicago Outfit,Chicago Outfit,0.8,0,3424,4,
Kriss Akabusi,Kriss Akabusi,1.0,1,4602,5,
China,China,1.0,1,3355,4,
Writer,writer,1.0,1,3909,4,
Board game,game,0.6666666666666666,0,4777,4,
"Sarabande and Danse is a ballet made by Jacques d'Amboise to the songs ""Sarabande"" (1901) and ""Danse"" (1890) by **Claude Debussy**.",Debussy,0.0909090909090909,0,3544,4,
Marvel Comics,Marvel Comics,1.0,1,3550,4,
,23 May 1990,0.0,0,1465,1,Actor failed: APITimeoutError: Request timed out.
Richard Li,Richard Li,1.0,1,4581,5,
Mark Bickley,Mark Bickley,1.0,1,4689,5,
Iowa State University,Iowa State University,1.0,1,4992,5,
Bagsecg died on **8 January 871**.,8 January 871,0.6666666666666666,0,3059,4,
"Based on the provided texts, Alessandro Scarlatti and Nikolai Rimsky-Korsakov were both **composers** who wrote **operas**.",composer,0.0,0,4641,4,
"The title *What Dreams May Come* is derived from the ""To be, or not to be"" soliloquy in William Shakespeare's play *Hamlet*.",Hamlet's,0.0,0,6389,6,
"The American comedian and actress is Leslie Jones, who is known for the television show **Saturday Night Live**. She starred as Patty Tolan in the 2016 supernatural comedy film *Ghostbusters*, directed by Paul Feig. (Note: Other cast members of the film, such as Kristen Wiig, Kate McKinnon, and Cecily Strong, are also known for *Saturday Night Live*).",Saturday Night Live,0.1,0,5778,5,
Gary Owen performed at **Shaquille O'Neal's All-Star Comedy Jam Tour**.,All-Star Comedy Jam Tour,0.5714285714285715,0,4236,4,
1898,1898,1.0,1,4239,4,
Defensive coordinator,defensive coordinator,1.0,1,8686,5,
American,American,1.0,1,3685,4,
The Hubert H. Humphrey Metrodome (commonly known as the Metrodome),Hubert H. Humphrey Metrodome,0.5714285714285715,0,3356,4,
,Mayor Quimby,0.0,0,1551,1,Actor failed: APITimeoutError: Request timed out.
The Dressmaker,The Dressmaker,1.0,1,4111,4,
Osho,Rajneesh,0.0,0,5094,5,
KPMG,KPMG,1.0,1,4155,4,
Comanche people,Comanche,0.6666666666666666,0,3588,4,
Lord Voldemort,Lord Voldemort,1.0,1,3576,4,
The Gold Coast,Gold Coast,0.8,0,5375,5,
Walt Disney Pictures,Walt Disney Animation Studios,0.5714285714285715,0,5240,4,
"In the 1978 animated television series *The Freedom Force*, **Isis** is the heroine who gathers and leads the superhero team known as **The Freedom Force**.",television,0.07692307692307693,0,4854,4,
United States,United States,1.0,1,3299,4,
Mountain goat,white goat,0.5,0,5457,5,
1983,1983,1.0,1,3888,4,
Yu-Gi-Oh! Trading Card Game,Yu-Gi-Oh,0.4,0,3748,4,
Bangladesh,Bangladesh,1.0,1,4905,4,
1931,1931,1.0,1,3168,4,
Casey Affleck,Caleb Casey McGuire Affleck-Boldt,0.3333333333333333,0,5287,4,
William Corlett,William Corlett,1.0,1,3789,4,
William H. Macy,was written by William H. Macy,0.6666666666666666,0,3873,4,
"August 30, 2003","August 30, 2003",1.0,1,3154,4,
"Yes, both magazines have a similar readership in terms of demographics, as they are both weekly publications aimed at women. However, they differ geographically: *Take a Break* is published in the United Kingdom, while *Femina* is a Danish-language magazine published in Denmark (with a Swedish edition).",yes,0.042553191489361694,0,4510,4,
Russell T Davies,Russell T Davies,1.0,1,1588,2,
,"the distribution of potable water, and to provide emergency storage for fire protection",0.0,0,7852,5,Actor failed: APITimeoutError: Request timed out.
,motion picture company,0.0,0,1431,1,Actor failed: APITimeoutError: Request timed out.
Ernst Röhm,Ernst Julius Günther Röhm,0.6666666666666666,0,5215,4,
Elise Stefanik,Republican Elise Stefanik,0.8,0,3028,4,
South Coast,South Coast,1.0,1,4269,4,
2000,2000,1.0,1,4023,4,
Glamour,Glamour,1.0,1,3635,4,
Alden Ehrenreich,Alden Ehrenreich,1.0,1,4718,4,
2007,2007,1.0,1,3143,4,
"January 1, 1972","January 1, 1972",1.0,1,3935,5,
United States,United States,1.0,1,3670,4,
Brasstown Bald,Brasstown Bald,1.0,1,3848,4,
The National Alliance,National Alliance,0.8,0,5250,4,
1994,1994,1.0,1,3555,4,
Mike Leach,Michael Charles Leach,0.4,0,3996,4,
Both the Cairn Terrier and the German Hound are used for hunting.,used for hunting,0.4,0,3386,4,
"Yes, the legislature was elected on a national level.",The 2017 Macanese general election took place on 17 September 2017 according to the provisions of the Basic Law of Macau.,0.13333333333333333,0,3962,4,
The Dieppe Raid,Dieppe Raid,0.8,0,3903,4,
"It revolves around two trolls on a quest to save their village from destruction by the Bergens, creatures who eat trolls.","two trolls on a quest to save their village from destruction by the Bergens, creatures who eat trolls.",0.923076923076923,0,5557,5,
,"December 9, 1985",0.0,0,1841,1,Actor failed: APITimeoutError: Request timed out.
The Tower of London,Tower of London,0.8571428571428571,0,4603,4,
Adult Swim,Adult Swim,1.0,1,3863,4,
American,American,1.0,1,3592,4,
Professional tennis player,tennis professional,0.8,0,3250,4,
"No, the provided text only confirms that the Lancashire Heeler is listed by the Kennel Club (UK) as a vulnerable breed.",no,0.0909090909090909,0,9785,6,
"The spiritual name of the philosopher who founded Amra Bangali, Prabhat Ranjan Sarkar, is **Shrii Shrii Ánandamúrti**.",Shrii Shrii Ánandamúrti,0.3,0,4878,5,
Ben Affleck,Ben Affleck,1.0,1,4117,4,
Film director,film director,1.0,1,3558,4,
Russell Crowe,Russell Crowe,1.0,1,3912,4,
In the Name of the Father,In the Name of the Father,1.0,1,4660,5,
InBev,InBev,1.0,1,4236,4,
Western Roman Empire,Western Roman Empire,1.0,1,3606,4,
"Other major religions in the United Kingdom include Islam, Hinduism, Sikhism, Judaism, and Buddhism.","Islam, Hinduism, Sikhism, Judaism and Buddhism",0.6,0,3334,4,
Chinese Journal of Physics,Chinese Journal of Physics,1.0,1,6419,5,
"They refer to the same geographic location, a hamlet and census-designated place (CDP) in the Town of East Hampton, New York.",United States,0.0,0,7022,4,
"The iBook was the first mass consumer product to offer Wi-Fi network connectivity, which Apple branded as **AirPort**. AirPort is the name given to Apple's series of products (such as wireless routers and cards) that use Wi-Fi protocols.",Apple,0.05128205128205127,0,3517,4,
Georgia O'Keeffe,Georgia Totto O'Keeffe,0.8,0,3797,4,
They are both film directors.,film director.,0.28571428571428575,0,11046,5,
1959,1959,1.0,1,3066,4,
"Yes, both E. Howard Hunt and Miguel Delibes were in the writing industry. E. Howard Hunt was an American writer and intelligence officer, while Miguel Delibes was a Spanish novelist, journalist, and newspaper editor.",yes,0.05714285714285715,0,4074,4,
William P. Young,William P. Young,1.0,1,4644,5,
,public,0.0,0,941,1,Actor failed: APITimeoutError: Request timed out.
David Ignatow,David Ignatow,1.0,1,4001,4,
Cha Tae-hyun,Cha Tae-hyun,1.0,1,5116,5,
"Washington, D.C.","Washington, D.C.",1.0,1,3737,4,
Nas,Nas,1.0,1,4336,4,
South Africa,South Africa,1.0,1,3818,4,
Roy Spencer,Roy Spencer,1.0,1,8905,5,
Caleb Shomo,Caleb Joshua Shomo,0.8,0,7027,5,
Mickey Arthur,coached by Mickey Arthur,0.6666666666666666,0,3255,4,
Comedy Central,"Comedy Central named him #83 on the five-part miniseries ""100 Greatest Stand-ups of All Time"" .",0.23529411764705882,0,3391,4,
Brad Pitt,Brad Pitt,1.0,1,7727,5,
